order_id,customer_id,order_date,order_time
1,927,2024-06-18,13:08
2,1985,2024-12-07,16:56
3,135,2024-05-22,23:00
4,1889,2024-04-09,15:22
5,1017,2024-03-08,16:02
6,627,2024-11-28,19:28
7,1650,2024-06-20,11:59
8,610,2024-08-30,18:03
9,552,2024-11-27,19:19
10,1615,2024-07-30,12:37
11,1772,2024-09-03,18:26
12,1731,2024-05-28,17:53
13,178,2024-05-28,21:45
14,377,2024-11-08,22:10
15,1951,2024-03-26,21:03
16,1596,2024-12-20,19:02
17,1446,2024-09-06,22:37
18,1767,2024-12-18,14:05
19,938,2024-03-05,19:14
20,359,2024-08-08,12:20
21,327,2024-01-02,21:17
22,470,2024-12-14,14:36
23,1809,2024-05-14,11:37
24,164,2024-10-03,14:40
25,871,2024-03-12,14:59
26,1035,2024-08-30,16:13
27,1810,2024-07-28,12:57
28,837,2024-11-09,10:06
29,1233,2024-10-16,19:13
30,673,2024-11-29,22:48
31,1035,2024-08-29,14:39
32,809,2024-06-01,23:17
33,1242,2024-04-27,20:13
34,351,2024-05-24,22:34
35,1241,2024-04-13,12:52
36,1647,2024-02-03,15:47
37,541,2024-08-15,16:03
38,1064,2024-04-30,14:44
39,1601,2024-01-28,14:14
40,1303,2024-03-19,15:53
41,1841,2024-01-05,13:22
42,970,2024-07-03,11:05
43,1773,2024-11-06,14:16
44,337,2024-05-23,11:36
45,1224,2024-04-13,19:06
46,1459,2024-10-07,22:37
47,962,2024-06-26,14:15
48,204,2024-10-31,13:08
49,1083,2024-09-06,21:48
50,755,2024-04-23,15:08
51,1452,2024-04-05,14:42
52,281,2024-04-30,12:02
53,262,2024-03-23,15:42
54,298,2024-10-22,18:41
55,480,2024-06-15,19:44
56,581,2024-05-08,16:45
57,784,2024-12-16,16:10
58,646,2024-04-12,19:15
59,1711,2024-02-29,17:59
60,101,2024-11-02,13:42
61,626,2024-09-06,11:54
62,1145,2024-07-01,23:57
63,1693,2024-05-31,12:52
64,211,2024-02-17,20:15
65,1028,2024-02-19,10:46
66,1799,2024-11-11,21:15
67,66,2024-06-04,19:27
68,1918,2024-04-15,12:29
69,15,2024-09-05,23:43
70,1366,2024-09-27,16:56
71,245,2024-08-13,16:30
72,566,2024-09-21,19:45
73,1183,2024-06-09,19:25
74,1888,2024-09-04,13:30
75,930,2024-12-02,23:57
76,544,2024-02-16,11:45
77,869,2024-05-03,13:48
78,649,2024-06-27,13:08
79,1273,2024-11-01,16:09
80,1229,2024-07-23,12:18
81,731,2024-04-09,20:05
82,1308,2024-05-22,18:20
83,111,2024-04-16,15:41
84,1763,2024-09-19,20:32
85,1783,2024-05-01,20:06
86,1736,2024-03-28,19:34
87,1111,2024-11-02,23:37
88,1127,2024-12-03,15:14
89,1969,2024-05-28,22:49
90,1719,2024-09-26,22:04
91,396,2024-12-27,20:30
92,780,2024-12-11,10:42
93,816,2024-08-19,15:43
94,292,2024-02-26,21:31
95,1013,2024-08-08,17:16
96,1625,2024-08-31,23:05
97,4,2024-06-20,21:45
98,358,2024-02-13,23:34
99,1540,2024-01-19,12:36
100,914,2024-08-12,23:27
101,243,2024-06-18,19:06
102,1189,2024-10-13,17:03
103,1161,2024-11-17,15:32
104,690,2024-03-15,11:02
105,544,2024-02-14,11:22
106,1754,2024-08-08,20:37
107,1325,2024-03-29,12:10
108,1991,2024-07-12,12:14
109,1818,2024-09-14,15:38
110,323,2024-07-18,11:22
111,1282,2024-05-20,17:24
112,222,2024-01-03,15:39
113,1857,2024-02-24,11:37
114,1506,2024-07-12,11:19
115,814,2024-05-08,17:00
116,1919,2024-10-09,20:07
117,660,2024-05-09,22:14
118,328,2024-09-30,21:12
119,816,2024-12-24,14:55
120,1978,2024-09-19,14:02
121,1187,2024-06-01,19:22
122,624,2024-04-26,19:03
123,1631,2024-11-08,12:39
124,207,2024-04-02,19:54
125,1380,2024-02-29,18:16
126,655,2024-09-11,21:30
127,967,2024-09-18,11:46
128,1740,2024-08-09,19:07
129,1736,2024-06-08,16:56
130,489,2024-04-20,13:18
131,424,2024-02-09,10:59
132,1144,2024-02-29,14:05
